0,0.8980613105063953,
1,0.22470712474983698,
2,0.18037817381999194,
3,0.1550968092257587,
4,0.1594574016331032,
5,0.13845749181395206,
6,0.23464187479571083,
7,0.11677048041560958,
8,0.10790956882699006,
9,0.10467441049095697,
10,0.1011564344842527,
11,0.09678720458341651,
12,0.09327469037040663,
13,0.23613860035617026,
14,0.15677821961443353,
15,0.14504878105076147,
16,0.132872032499587,
17,0.12739286725945276,
18,0.12689268879115467,
19,0.11947195392592151,
20,0.11316810023228828,
21,0.1118653568851086,
22,0.12082373079534725,
23,0.11077436709539455,
