0,0.10061061818555511,
1,0.027522433712002525,
2,0.012695075992529727,
3,0.0077412645897272005,
4,0.006373484256341779,
5,0.005635021982994384,
6,0.00495651125577611,
7,0.004592427693117868,
8,0.004778731031907177,
9,0.004403628831619539,
10,0.004508065523488025,
11,0.004017693715280208,
12,0.0041248358582208445,
13,0.003910858306672765,
14,0.003657740104749568,
15,0.0035287518996348043,
16,0.003692233122946251,
17,0.0035824786329245986,
18,0.003803462131866079,
19,0.0035261052157237937,
20,0.003832834486072537,
21,0.0035207968459644587,
22,0.00357924321874942,
23,0.0032257101385002756,
24,0.003632919435535769,
25,0.0031868122383372,
26,0.0031858987891279647,
27,0.003106713091989786,
28,0.0031405390767959267,
29,0.00304326290195369,
30,0.0032924603432447873,
31,0.004100248153362366,
32,0.0034778191623463964,
33,0.0029693540480123693,
34,0.003208672777374619,
35,0.0029645814987777474,
36,0.003228118719627441,
37,0.0038067801718765335,
